Verify_ID,Customer ID,Customer Name,Address,Industrial Sector
63,63 - 2025/10/1,Vale Sociedad Anonima,"Praia de Botafgogo, 186, Rio de Janeiro, Brazil",Mining
64,,Itau Unibanco Holding,"Praca Alfredo Egydioo de Souza Aranha, 100, Sao Paulo, Brazil",Banking
65,,MercadoLibre,,E-commerce
66,66,Grupo Bimbo,"Prolongacion Pseo de la Reforma 1000, Mexico City, Mexico",Food Processing
67,,Bancolombia S.A. (Sociedad Anonima),"Carrera 48 # 26-85, Medellin, Colobia",Financial Services
68,68,Grupo Mexico,,Conglomarate
69,69,Embraer Sociedad Anonima,"Av. Brig. Faria Lima, 2170, Sao Jose dos Campso, Brazil",Aerospace and Defense
70,70  PB,Cemex,,Construction
71,,LATAM Airlines Group,"Av. Americo Vespucio 901, Renca, Satiago, Chile",Aviation
72,,Grupo Falabella,"Rosas 1665, Santiagio, Chile",Retail
73,73,Tenaris,,Manufacturing
74,,Ultrapar Participacoes Sociedad Anonima,"Rua Gomes de Carvlho, 1336, Sao Paulo, Brazil",
75,,Grupo Carso,"Lago Zrich 245, Plaza Carso, Mexico City, Mexico",Conglomerate
76,76,Grupo Argos,"Carrera 43A #1A Sur - 143, Medllin, Colombia",Cement and Energy
77,77 - Tranfered t o HQ,S.A.C.I. Falabella,,Retail
78,,Arcos Dorados Holdings Incorporated,"Dr. Luis Bonavta 1294, Montevideo, Uruguay",Fast Food
79,79 Brazil,JBS Sociedad Anonima,"Avenida Marginal Diret do Tiete, 500, Sao Paulo, Brazil",
80,80,Grupo Aeroportuario del Pacifico,"Mariano Otero 1249, Guadalajra, Mexico",Aviation
81,81,Copel,,Energy
82,,Braskem,"Rua Lemos Montiero, 120, Sao Paulo, Brazil",Petrochemicals
83,83,Grupo Antofagasta Minerals,,Mining
84,,Ecopetrol,"Calle 37 #8-43, Bogta, Colombia",Oil and Gas
85,85,Banco do Brasil,,Banking
86,86,Odebrecht Construction,"Av. das Nacoes Unids, 8501, Sao Paulo, Brazil",Construction
87,87,YPF (Yacimientos Petroliferos Fiscales),"Macacha Guems 515, Buenos Aires, Argentina",Oil and Gas
88,,Marfrig Glboal Foods,,Food Processing
89,89,Grupo Nutresa,"Calle 73 #51-14, Medelin, Colombia",
90,90,SQM (Sociedad Quimica y Minera de Chile),"El Trovador 4285, Las Condess, Santiago, Chile",Chemiacals
91,91,Petrobras Sociedad Anonima,,Oil and Gas
92,,Vale Sociedad Anonima,"Praia de Botafgo, 186, Rio de Janeiro, Brazil",Mining
93,93,America Movil Holdings,"Lago Zurich 245, Plaza Crso, Mexico City, Mexico",Telecommunications
94,94,Itau Unibanco Holding SA (Sociedad Anonima),,Banknig
95,,Grupo Mexmining,"Campos Eliseos 400, Lomas de Chapultepec, Mexico Ciy, Mexico",
96,96,Banco Bradesco Sociedad Anonima,,Bank
97,,Banco Santander Brasil,"Av. Presidente Juscelino Kubitshcek, 2041, Sao Paulo, Brazil",Banking
98,99,Grupo Financiero Banorte,,Banking
99,,Suzano Sociedad Anonima,"Av. Professor Magalhaes Nto, 1752, Salvador, Brazil",Pulp and Paper
